Perïodo:Fev/2020-Fev/2025,,,,,,
RegiAO/Unidade da Federacao,Internacoes,Taxa_mortalidade,Obitos,Valor_total
Regiao Norte,5358594,3.47,186173,6045855298
Rondonia,610193,3.56,21721,704313849.4
Acre,263235,3.66,9624,253052891.4
Amazonas,1059101,4.11,43487,1255118657
Roraima,212716,3.71,7882,212217841
Para,2522279,3.09,77845,2852346275
Amapa,232374,3.27,7609,211815713.6
Tocantins,458696,3.93,18005,556990069.3
Regiao Nordeste,16538523,4.5,743596,24222319611
Maranhao,2309097,3.24,74767,2394472344
Piaui,1057251,4.03,42609,1330149880
Ceara,2662931,4.68,124678,3938833104
Rio Grande do Norte,967456,4.25,41142,1749938104
Paraiba,1046775,5.64,58996,1781345374
Pernambuco,2965655,5.02,148959,5180771133
Alagoas,802875,4.93,39588,1205717331
Sergipe,534097,5.52,29469,851894922.3
Bahia,4192386,4.37,183388,5789197418
Regiao Sudeste,24839236,6.05,1501643,45232930366
Minas Gerais,6773852,5.37,363795,12601187552
Espirito Santo,1371215,4.58,62776,2426729593
Rio de Janiero,4032040,7.64,307915,6968312097
Sao Paulo,12662129,6.06,767157,23236701124
Regiao Sul,10969014,5.33,584324,21524131329
Parana,4409778,4.96,218840,8960437448
Santa Catarina,2715768,4.8,130466,5498121203
Rio Grande do Sul,3843468,6.11,235018,7065572678
Regiao Centro-Oeste,5074544,4.21,213553,7632678349
Mato Grosso do Sul,951289,4.9,46648,1537264961
Mato Grosso,1053818,3.92,41342,1401060282
Goias,1892484,4.52,85602,2996584122
Distrito Federal,1176953,3.4,39961,1697768984
Total,62779911,5.14,3229289,1.05E+11
